Fraud,Consumer State Name Cleansed,Blank,DC Only,Fraud Only,IDT Only,Parameter DWM,Product Product Code Desc,Tooltip lt 100 text,# Reports by Category Overall PSC State,# Reports by Category Overall State,% reporting loss,F1,Median Losses by Category Overall State,Median Losses by Category Overall State PSC,Number of Records,Reporting a Loss State,State Total Reports,Total Losses by Category Overall State,Total Losses by Category Overall State PSC
Do Not Call,Alabama,,False,False,False,By Day,Imposters,"For states with fewer than 100 reports, the Top Reports graphic combines Fraud and Other categories.",18,61,,0,,,1,,1509,0,0
Do Not Call,Alabama,,False,False,False,By Day,Dropped call or no message,"For states with fewer than 100 reports, the Top Reports graphic combines Fraud and Other categories.",1,61,,1,,,1,,1509,0,0
Do Not Call,Alabama,,False,False,False,By Day,"Energy, solar & utilities","For states with fewer than 100 reports, the Top Reports graphic combines Fraud and Other categories.",2,61,,2,,,1,,1509,0,0
Do Not Call,Alabama,,False,False,False,By Day,Medical & prescriptions,"For states with fewer than 100 reports, the Top Reports graphic combines Fraud and Other categories.",2,61,,3,,,1,,1509,0,0
Do Not Call,Alabama,,False,False,False,By Day,No Subject Provided,"For states with fewer than 100 reports, the Top Reports graphic combines Fraud and Other categories.",1,61,,4,,,1,,1509,0,0
Do Not Call,Alabama,,False,False,False,By Day,Other,"For states with fewer than 100 reports, the Top Reports graphic combines Fraud and Other categories.",20,61,,5,,,1,,1509,0,0
Do Not Call,Alabama,,False,False,False,By Day,Reducing debt,"For states with fewer than 100 reports, the Top Reports graphic combines Fraud and Other categories.",7,61,,6,,,1,,1509,0,0
Do Not Call,Alabama,,False,False,False,By Day,Vacation & timeshares,"For states with fewer than 100 reports, the Top Reports graphic combines Fraud and Other categories.",2,61,,7,,,1,,1509,0,0
Do Not Call,Alabama,,False,False,False,By Day,Warranties & protection plans,"For states with fewer than 100 reports, the Top Reports graphic combines Fraud and Other categories.",8,61,,8,,,1,,1509,0,0
Do Not Call,Alaska,,False,False,False,By Day,Imposters,"For states with fewer than 100 reports, the Top Reports graphic combines Fraud and Other categories.",3,5,,9,,,1,,184,0,0
Do Not Call,Alaska,,False,False,False,By Day,Other,"For states with fewer than 100 reports, the Top Reports graphic combines Fraud and Other categories.",2,5,,10,,,1,,184,0,0
Do Not Call,Arizona,,False,False,False,By Day,Imposters,"For states with fewer than 100 reports, the Top Reports graphic combines Fraud and Other categories.",37,171,,11,,,1,,3080,0,0
Do Not Call,Arizona,,False,False,False,By Day,Charities,"For states with fewer than 100 reports, the Top Reports graphic combines Fraud and Other categories.",3,171,,12,,,1,,3080,0,0
Do Not Call,Arizona,,False,False,False,By Day,Computer & technical support,"For states with fewer than 100 reports, the Top Reports graphic combines Fraud and Other categories.",5,171,,13,,,1,,3080,0,0
Do Not Call,Arizona,,False,False,False,By Day,Dropped call or no message,"For states with fewer than 100 reports, the Top Reports graphic combines Fraud and Other categories.",9,171,,14,,,1,,3080,0,0
Do Not Call,Arizona,,False,False,False,By Day,"Energy, solar & utilities","For states with fewer than 100 reports, the Top Reports graphic combines Fraud and Other categories.",5,171,,15,,,1,,3080,0,0
Do Not Call,Arizona,,False,False,False,By Day,Home improvement & cleaning,"For states with fewer than 100 reports, the Top Reports graphic combines Fraud and Other categories.",2,171,,16,,,1,,3080,0,0
Do Not Call,Arizona,,False,False,False,By Day,"Lotteries, prizes & sweepstakes","For states with fewer than 100 reports, the Top Reports graphic combines Fraud and Other categories.",3,171,,17,,,1,,3080,0,0
Do Not Call,Arizona,,False,False,False,By Day,Medical & prescriptions,"For states with fewer than 100 reports, the Top Reports graphic combines Fraud and Other categories.",14,171,,18,,,1,,3080,0,0
Do Not Call,Arizona,,False,False,False,By Day,No Subject Provided,"For states with fewer than 100 reports, the Top Reports graphic combines Fraud and Other categories.",5,171,,19,,,1,,3080,0,0
Do Not Call,Arizona,,False,False,False,By Day,Other,"For states with fewer than 100 reports, the Top Reports graphic combines Fraud and Other categories.",66,171,,20,,,1,,3080,0,0
Do Not Call,Arizona,,False,False,False,By Day,Reducing debt,"For states with fewer than 100 reports, the Top Reports graphic combines Fraud and Other categories.",9,171,,21,,,1,,3080,0,0
Do Not Call,Arizona,,False,False,False,By Day,Vacation & timeshares,"For states with fewer than 100 reports, the Top Reports graphic combines Fraud and Other categories.",4,171,,22,,,1,,3080,0,0
Do Not Call,Arizona,,False,False,False,By Day,Warranties & protection plans,"For states with fewer than 100 reports, the Top Reports graphic combines Fraud and Other categories.",9,171,,23,,,1,,3080,0,0
Do Not Call,Arkansas,,False,False,False,By Day,Imposters,"For states with fewer than 100 reports, the Top Reports graphic combines Fraud and Other categories.",6,32,,24,,,1,,826,0,0
Do Not Call,Arkansas,,False,False,False,By Day,"Lotteries, prizes & sweepstakes","For states with fewer than 100 reports, the Top Reports graphic combines Fraud and Other categories.",1,32,,25,,,1,,826,0,0
Do Not Call,Arkansas,,False,False,False,By Day,Medical & prescriptions,"For states with fewer than 100 reports, the Top Reports graphic combines Fraud and Other categories.",2,32,,26,,,1,,826,0,0
Do Not Call,Arkansas,,False,False,False,By Day,No Subject Provided,"For states with fewer than 100 reports, the Top Reports graphic combines Fraud and Other categories.",1,32,,27,,,1,,826,0,0
Do Not Call,Arkansas,,False,False,False,By Day,Other,"For states with fewer than 100 reports, the Top Reports graphic combines Fraud and Other categories.",4,32,,28,,,1,,826,0,0
Do Not Call,Arkansas,,False,False,False,By Day,Reducing debt,"For states with fewer than 100 reports, the Top Reports graphic combines Fraud and Other categories.",10,32,,29,,,1,,826,0,0
Do Not Call,Arkansas,,False,False,False,By Day,Warranties & protection plans,"For states with fewer than 100 reports, the Top Reports graphic combines Fraud and Other categories.",8,32,,30,,,1,,826,0,0
Do Not Call,California,,False,False,False,By Day,Imposters,"For states with fewer than 100 reports, the Top Reports graphic combines Fraud and Other categories.",188,976,,31,,,1,,17692,0,0
Do Not Call,California,,False,False,False,By Day,Charities,"For states with fewer than 100 reports, the Top Reports graphic combines Fraud and Other categories.",7,976,,32,,,1,,17692,0,0
Do Not Call,California,,False,False,False,By Day,Computer & technical support,"For states with fewer than 100 reports, the Top Reports graphic combines Fraud and Other categories.",9,976,,33,,,1,,17692,0,0
Do Not Call,California,,False,False,False,By Day,Dropped call or no message,"For states with fewer than 100 reports, the Top Reports graphic combines Fraud and Other categories.",34,976,,34,,,1,,17692,0,0
Do Not Call,California,,False,False,False,By Day,"Energy, solar & utilities","For states with fewer than 100 reports, the Top Reports graphic combines Fraud and Other categories.",16,976,,35,,,1,,17692,0,0
Do Not Call,California,,False,False,False,By Day,Home improvement & cleaning,"For states with fewer than 100 reports, the Top Reports graphic combines Fraud and Other categories.",21,976,,36,,,1,,17692,0,0
Do Not Call,California,,False,False,False,By Day,Home security & alarms,"For states with fewer than 100 reports, the Top Reports graphic combines Fraud and Other categories.",2,976,,37,,,1,,17692,0,0
Do Not Call,California,,False,False,False,By Day,"Lotteries, prizes & sweepstakes","For states with fewer than 100 reports, the Top Reports graphic combines Fraud and Other categories.",8,976,,38,,,1,,17692,0,0
Do Not Call,California,,False,False,False,By Day,Medical & prescriptions,"For states with fewer than 100 reports, the Top Reports graphic combines Fraud and Other categories.",54,976,,39,,,1,,17692,0,0
Do Not Call,California,,False,False,False,By Day,No Subject Provided,"For states with fewer than 100 reports, the Top Reports graphic combines Fraud and Other categories.",86,976,,40,,,1,,17692,0,0
Do Not Call,California,,False,False,False,By Day,Other,"For states with fewer than 100 reports, the Top Reports graphic combines Fraud and Other categories.",424,976,,41,,,1,,17692,0,0
Do Not Call,California,,False,False,False,By Day,Reducing debt,"For states with fewer than 100 reports, the Top Reports graphic combines Fraud and Other categories.",77,976,,42,,,1,,17692,0,0
Do Not Call,California,,False,False,False,By Day,Vacation & timeshares,"For states with fewer than 100 reports, the Top Reports graphic combines Fraud and Other categories.",22,976,,43,,,1,,17692,0,0
Do Not Call,California,,False,False,False,By Day,Warranties & protection plans,"For states with fewer than 100 reports, the Top Reports graphic combines Fraud and Other categories.",25,976,,44,,,1,,17692,0,0
Do Not Call,California,,False,False,False,By Day,Money making opportunities,"For states with fewer than 100 reports, the Top Reports graphic combines Fraud and Other categories.",3,976,,45,,,1,,17692,0,0
Do Not Call,Colorado,,False,False,False,By Day,Imposters,"For states with fewer than 100 reports, the Top Reports graphic combines Fraud and Other categories.",31,141,,46,,,1,,2771,0,0
Do Not Call,Colorado,,False,False,False,By Day,Charities,"For states with fewer than 100 reports, the Top Reports graphic combines Fraud and Other categories.",2,141,,47,,,1,,2771,0,0
Do Not Call,Colorado,,False,False,False,By Day,Computer & technical support,"For states with fewer than 100 reports, the Top Reports graphic combines Fraud and Other categories.",2,141,,48,,,1,,2771,0,0
Do Not Call,Colorado,,False,False,False,By Day,Dropped call or no message,"For states with fewer than 100 reports, the Top Reports graphic combines Fraud and Other categories.",3,141,,49,,,1,,2771,0,0
Do Not Call,Colorado,,False,False,False,By Day,"Energy, solar & utilities","For states with fewer than 100 reports, the Top Reports graphic combines Fraud and Other categories.",1,141,,50,,,1,,2771,0,0
Do Not Call,Colorado,,False,False,False,By Day,Home improvement & cleaning,"For states with fewer than 100 reports, the Top Reports graphic combines Fraud and Other categories.",11,141,,51,,,1,,2771,0,0
