,Adj Close,Adj Close,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
,AAPL,SPY,AAPL,SPY,AAPL,SPY,AAPL,SPY,AAPL,SPY,AAPL,SPY
Date,,,,,,,,,,,,
2000-01-03,0.8494685292243958,94.94645690917969,0.9994419813156128,145.4375,1.004464030265808,148.25,0.9079239964485168,143.875,0.9363840222358704,148.25,535796800,8164300
2000-01-04,0.7778496146202087,91.23343658447266,0.9151790142059326,139.75,0.9877229928970337,144.0625,0.9034600257873535,139.640625,0.966517984867096,143.53125,512377600,8089800
2000-01-05,0.789232075214386,91.3967056274414,0.9285709857940674,140.0,0.9871649742126465,141.53125,0.919642984867096,137.25,0.9263389706611633,139.9375,778321600,12177900
2000-01-06,0.7209330797195435,89.92779541015625,0.8482139706611633,137.75,0.955357015132904,141.5,0.8482139706611633,137.75,0.9475449919700623,139.625,767972800,6227200
2000-01-07,0.7550831437110901,95.15042877197266,0.888392984867096,145.75,0.9017860293388367,145.75,0.8526790142059326,140.0625,0.861607015132904,140.3125,460734400,8066500
2000-01-10,0.7418028116226196,95.47686004638672,0.872767984867096,146.25,0.9129459857940674,146.90625,0.845982015132904,145.03125,0.9107139706611633,146.25,505064000,5741700
2000-01-11,0.7038587927818298,94.33441925048828,0.828125,144.5,0.8872770071029663,146.09375,0.8080360293388367,143.5,0.8565850257873535,145.8125,441548800,7503700
2000-01-12,0.6616463661193848,93.39599609375,0.7784600257873535,143.0625,0.8526790142059326,144.59375,0.7723209857940674,142.875,0.8482139706611633,144.59375,976068800,6907700
2000-01-13,0.7342135906219482,94.66085815429688,0.8638389706611633,145.0,0.8816959857940674,145.75,0.825892984867096,143.28125,0.8436099886894226,144.46875,1032684800,5158300
2000-01-14,0.7621973156929016,95.94612121582031,0.896763026714325,146.96875,0.9129459857940674,147.46875,0.8872770071029663,145.96875,0.892857015132904,146.53125,390376000,7437300
2000-01-18,0.788757860660553,95.19125366210938,0.928013026714325,145.8125,0.9464290142059326,146.625,0.896763026714325,145.1875,0.9017860293388367,145.34375,459177600,6488500
2000-01-19,0.8086787462234497,95.96648406982422,0.9514510035514832,147.0,0.970982015132904,147.0,0.9229909777641296,145.0,0.9430800080299377,145.3125,597643200,6157900
2000-01-20,0.8613259792327881,94.49760437011719,1.0133930444717407,144.75,1.0848209857940674,146.96875,1.0133930444717407,143.8125,1.03125,146.96875,1831132800,5800100
2000-01-21,0.8447259664535522,94.29358673095703,0.993861973285675,144.4375,1.020089030265808,145.5,0.9838169813156128,144.0625,1.020089030265808,145.5,495924800,6244800
2000-01-24,0.8063076138496399,91.62106323242188,0.9486610293388367,140.34375,1.0066959857940674,145.84375,0.9386159777641296,139.40625,0.9681919813156128,145.65625,440876800,7896900
2000-01-25,0.8518397212028503,92.66155242919922,1.0022319555282593,141.9375,1.010045051574707,141.9375,0.9140629768371582,139.0,0.9375,140.515625,497145600,9942500
2000-01-26,0.836188018321991,91.92707824707031,0.9838169813156128,140.8125,1.019531011581421,141.546875,0.9799110293388367,140.09375,0.982142984867096,141.0,367158400,5158100
2000-01-27,0.8347651958465576,91.55988311767578,0.982142984867096,140.25,1.0089290142059326,142.21875,0.955357015132904,138.125,0.9715399742126465,141.84375,340144000,10922700
2000-01-28,0.7712091207504272,88.70372772216797,0.9073659777641296,135.875,0.9899550080299377,140.0625,0.8984379768371582,135.53125,0.9659600257873535,139.4375,423348800,11916200
2000-01-31,0.7873350381851196,91.11103057861328,0.9263389706611633,139.5625,0.9274550080299377,139.671875,0.84375,135.0,0.9017860293388367,135.8125,701680000,10768700
2000-02-01,0.7607743740081787,92.00870513916016,0.8950889706611633,140.9375,0.9375,141.6875,0.892857015132904,138.53125,0.9285709857940674,139.75,318035200,8419900
2000-02-02,0.7498654127120972,92.09034729003906,0.8822540044784546,141.0625,0.9118300080299377,142.25,0.8660709857940674,140.375,0.8995540142059326,141.28125,464195200,6205900
2000-02-03,0.7840150594711304,93.47760009765625,0.9224330186843872,143.1875,0.9308040142059326,143.25,0.8950889706611633,140.0,0.8956469893455505,140.875,475193600,7997500
2000-02-04,0.8195879459381104,93.08995819091797,0.9642860293388367,142.59375,0.982142984867096,144.0,0.9252229928970337,142.125,0.928013026714325,143.1875,425320000,4925400
2000-02-07,0.865594208240509,92.9471435546875,1.0184149742126465,142.375,1.020089030265808,142.78125,0.9458709955215454,141.4375,0.9642860293388367,142.5625,441067200,5845800
2000-02-08,0.8717606663703918,94.21204376220703,1.025670051574707,144.3125,1.036829948425293,144.5625,0.9933040142059326,143.625,1.0178569555282593,143.96875,408643200,4936400
2000-02-09,0.8546852469444275,92.23311614990234,1.005579948425293,141.28125,1.0457589626312256,144.46875,1.003906011581421,141.265625,1.0189729928970337,144.46875,299364800,8511500
2000-02-10,0.8613259792327881,92.41668701171875,1.0133930444717407,141.5625,1.0167410373687744,142.5625,0.982142984867096,140.875,1.0078129768371582,141.625,302982400,6690600
2000-02-11,0.825279176235199,90.53977966308594,0.970982015132904,138.6875,1.0189729928970337,141.9375,0.966517984867096,138.03125,1.0145089626312256,141.84375,212251200,9849800
2000-02-14,0.8788745999336243,91.07022094726562,1.0340399742126465,139.5,1.0345979928970337,139.78125,0.9698659777641296,138.3125,0.9760040044784546,139.78125,367539200,8528800
2000-02-15,0.9030643105506897,92.10051727294922,1.0625,141.078125,1.0708709955215454,141.21875,1.0284600257873535,137.796875,1.0290180444717407,139.25,485744000,11078300
2000-02-16,0.8660688996315002,90.74380493164062,1.0189729928970337,139.0,1.0546879768371582,140.9375,1.0011160373687744,138.796875,1.051339030265808,140.375,378246400,8845400
2000-02-17,0.8717606663703918,90.27462005615234,1.025670051574707,138.28125,1.03125,140.4375,1.010045051574707,138.21875,1.0284600257873535,140.4375,289497600,7584200
2000-02-18,0.8442516922950745,88.33651733398438,0.9933040142059326,135.3125,1.0301339626312256,138.875,0.9899550080299377,134.625,1.0234379768371582,138.875,233441600,9409200
2000-02-22,0.8636975288391113,88.11212158203125,1.0161830186843872,134.96875,1.0440850257873535,136.34375,0.9525669813156128,133.53125,0.9832590222358704,135.1875,422296000,16415400
2000-02-23,0.8821945786476135,89.15254974365234,1.0379459857940674,136.5625,1.0625,137.46875,0.9910709857940674,134.5,1.0110210180282593,135.625,473099200,12119000
2000-02-24,0.8742502927780151,87.3572769165039,1.0285990238189697,133.8125,1.0636160373687744,137.03125,0.997767984867096,133.09375,1.0474330186843872,136.6875,376432000,17375000
2000-02-25,0.8376110196113586,87.041015625,0.9854909777641296,133.328125,1.0446430444717407,136.71875,0.9832590222358704,133.125,1.0251120328903198,135.1875,249144000,10559900
2000-02-28,0.859429121017456,88.866943359375,1.011160969734192,136.125,1.026785969734192,136.6875,0.9676340222358704,132.71875,0.9832590222358704,133.375,328328000,13397800
2000-02-29,0.8698635101318359,89.72379302978516,1.0234379768371582,137.4375,1.046875,137.4375,1.0050220489501953,135.75,1.0139509439468384,136.0625,368961600,8242500
2000-03-01,0.9889116287231445,90.3766098022461,1.1635040044784546,138.4375,1.1791290044784546,139.0,1.058035969734192,137.21875,1.058593988418579,137.625,1077003200,6868000
2000-03-02,0.9258306622505188,90.43780517578125,1.089285969734192,138.53125,1.1422990560531616,139.125,1.0775669813156128,137.34375,1.1339290142059326,138.6875,311259200,7600200
2000-03-03,0.9713627696037292,92.13111877441406,1.1428569555282593,141.125,1.144950032234192,141.71875,1.0714290142059326,139.71875,1.114954948425293,140.4375,323366400,12770300
