RID,Weights,Segment,Brand,Buy Client's Brand,Average price pay for the yogurt most typically purchased,Price Paid Range,Price Mid-Point,Number of Units Purchased,Number of Units Purchased Groups,Where Typically Purchase Yogurt,Store where typically buy yogurt,How many times per week eat last yogurt purchased,Time of day eat yogurt: Before breakfast,Time of day eat yogurt: At breakfast,Time of day eat yogurt: Mid-morning,Time of day eat yogurt: At lunch,Time of day eat yogurt: Mid-afternoon,Time of day eat yogurt: At dinner,Time of day eat yogurt: After dinner/early evening,Time of day eat yogurt: Before going to bed,Breakfast,Lunch,Dinner,Snack,Banana,Blueberry,Boysenberry,Strawberry,Vanilla,Coffee,Raspberry,Price Importance,Brand Name Importance,Fat Content Importance,Calorie Content Importance,Diet Fad Importance,Organic Importance,Non-Dairy Importance,Flavor Importance,Creaminess Importance,Dietary Fiber Content Importance,Vitamin D Fortified Importance,Price Satisfied,Brand Name Satisfied,Fat Content Satisfied,Calorie Content Satisfied,Diet Fad Satisfied,Organic Satisfied,Non-Dairy Satisfied,Flavor Satisfied,Creaminess Satisfied,Dietary Fiber Satisfied,Vitamin D Fortified Satisfied,Satisfied,Recommand,Purchase Again,Gender,Age,Ethnicity,Education,Employment Status,Household Income,Descriptive Word,x
45,72375.3722,Health Fanatic,Major Competitor,Not Buy,$1.18,$1.60 - $1.69,$1.65,5,Low,National Health Food Store,Warehouse Store,2,No,No,Yes,Yes,Yes,Yes,No,No,0,1,1,1,No,Yes,Yes,No,No,Yes,No,Extremely important,Extremely important,Neither important nor unimportant,Extremely important,Extremely important,Only somewhat important,Neither important nor unimportant,Only somewhat important,Only somewhat important,Only somewhat important,Only somewhat important,,,,,,,,,,,,Very Satisfied,Neither Recommand nor Not Recommand,Extremely Likely,Male,51 to 60 years old,African-American,Less than 9th Grade,Employed in upper-management,"$50,000 - $59,999",Delicious,Male
46,90579.7452,Health Fanatic,C,Not Buy,$1.02,$1.60 - $1.69,$1.65,8,High,Convenience Store,Health Food Store,7,No,Yes,Yes,No,No,No,No,No,1,0,0,0,No,Yes,No,No,No,No,Yes,Extremely important,Only somewhat important,Only somewhat unimportant,Only somewhat important,Neither important nor unimportant,Only somewhat unimportant,Extremely unimportant,Neither important nor unimportant,Extremely important,Only somewhat important,Neither important nor unimportant,,,,,,,,,,,,Very Satisfied,May Recommand,Somewhat Likely,Male,51 to 60 years old,African-American,High School Graduate or equivalent,Employed as a mid-level manager,"$200,000 or more",Tasty,Male
49,36187.6861,Health-Conscious,C,Not Buy,$1.23,$1.00 - $1.09,$1.05,9,High,Drug Store,Local Grocery Store,9,No,No,No,Yes,No,No,No,No,0,1,0,0,No,Yes,Yes,No,Yes,No,No,Neither important nor unimportant,Extremely important,Extremely unimportant,Extremely important,Only somewhat important,Only somewhat unimportant,Extremely important,Extremely important,Extremely important,Only somewhat important,Only somewhat important,,,,,,,,,,,,Very Satisfied,Neither Recommand nor Not Recommand,Extremely Likely,Female,36 to 40 years old,African-American,Bachelors Degree,"Employed, but not at a management level","$50,000 - $59,999",Fulfilling,Female
51,67686.7937,Dessert Lover,Major Competitor,Not Buy,$1.11,$1.00 - $1.09,$1.05,8,Medium,National Health Food Store,Convenience Store,4,Yes,Yes,Yes,No,No,Yes,Yes,Yes,1,0,1,1,No,Yes,Yes,No,No,No,Yes,Extremely unimportant,Extremely unimportant,Only somewhat important,Extremely important,Extremely unimportant,Extremely unimportant,Extremely unimportant,Extremely important,Extremely important,Extremely unimportant,Extremely unimportant,,,,,,,,,,,,Very Satisfied,May Recommand,Extremely Likely,Female,51 to 60 years old,African-American,Graduate or Professional Degree,Employed as a mid-level manager,"$50,000 - $59,999",Delicious,Female
52,168410.282,Normal Food Consumer,Major Competitor,Not Buy,$1.28,$1.30 - $1.39,$1.35,6,Medium,National Grocery Chain Store,Local Grocery Store,2,No,No,Yes,No,Yes,No,No,No,0,0,0,1,No,Yes,Yes,No,No,No,No,Extremely important,Only somewhat important,Only somewhat important,Only somewhat important,Extremely important,Neither important nor unimportant,Extremely important,Only somewhat important,Extremely important,Only somewhat unimportant,Extremely important,,,,,,,,,,,,Somewhat Satisfied,May Recommand,Extremely Likely,Male,36 to 40 years old,African-American,Bachelors Degree,Retired,"$60,000 - $74,999",Healthy,Male
55,112628.212,Health-Conscious,C,Not Buy,$1.38,$1.20 - $1.29,$1.25,6,Medium,National Health Food Store,Convenience Store,3,Yes,Yes,Yes,Yes,No,Yes,No,No,1,1,1,1,No,Yes,Yes,No,No,No,No,Extremely important,Only somewhat unimportant,Only somewhat important,Extremely important,Neither important nor unimportant,Only somewhat unimportant,Only somewhat important,Extremely important,Extremely important,Only somewhat unimportant,Only somewhat unimportant,,,,,,,,,,,,Very Satisfied,Will Definitely Not Recommand at All,Extremely Likely,Male,68 years old and over,African-American,Graduate or Professional Degree,Retired,"$50,000 - $59,999",Fulfilling,Male
59,112182.224,Normal Food Consumer,Client,Buy,$1.31,$1.40 - $1.49,$1.45,6,Medium,National Health Food Store,Convenience Store,4,Yes,No,No,No,No,No,No,No,0,0,0,0,No,Yes,No,No,Yes,No,No,Neither important nor unimportant,Only somewhat important,Only somewhat unimportant,Only somewhat important,Neither important nor unimportant,Extremely unimportant,Extremely important,Only somewhat important,Only somewhat important,Neither important nor unimportant,Only somewhat unimportant,,,,,,,,,,,,Very Satisfied,Neither Recommand nor Not Recommand,Extremely Likely,Male,18 to 35 years old,African-American,Bachelors Degree,Retired,"$50,000 - $59,999",Delicious,Male
62,90579.7452,Dessert Lover,D,Not Buy,$1.43,$1.10 - $1.19,$1.15,5,Low,Drug Store,Convenience Store,5,No,Yes,Yes,No,No,No,No,No,1,0,0,0,Yes,Yes,No,Yes,Yes,No,Yes,Neither important nor unimportant,Extremely important,Only somewhat important,Only somewhat important,Extremely important,Neither important nor unimportant,Extremely important,Only somewhat important,Extremely important,Neither important nor unimportant,Extremely important,,,,,,,,,,,,Somewhat Dissatisfied,Will Definitely Not Recommand at All,Extremely Likely,Male,51 to 60 years old,African-American,Some College (no degree),Retired,"$50,000 - $59,999",Flavourful,Male
64,118140.604,Dessert Lover,Major Competitor,Not Buy,$1.34,$1.60 - $1.69,$1.65,5,Low,National Health Food Store,Local Grocery Store,4,No,Yes,Yes,No,No,No,No,Yes,1,0,0,1,No,No,Yes,Yes,No,Yes,Yes,Extremely unimportant,Extremely unimportant,Extremely unimportant,Extremely important,Extremely unimportant,Extremely unimportant,Extremely unimportant,Extremely important,Extremely unimportant,Extremely unimportant,Extremely unimportant,,,,,,,,,,,,Somewhat Dissatisfied,Will Definitely Recommand,Somewhat Likely,Male,18 to 35 years old,Caucasian,Some College (no degree),Retired,"$50,000 - $59,999",Delicious,Male
66,151700.517,Dessert Lover,Client,Buy,$1.12,$1.00 - $1.09,$1.05,8,Medium,Other,Convenience Store,4,No,Yes,No,No,Yes,Yes,No,Yes,1,0,1,1,Yes,Yes,Yes,Yes,No,No,Yes,Only somewhat unimportant,Only somewhat important,Neither important nor unimportant,Extremely important,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Only somewhat important,Only somewhat important,Only somewhat important,Neither important nor unimportant,,,,,,,,,,,,Very Satisfied,May Recommand,Somewhat Likely,Female,51 to 60 years old,African-American,Some College (no degree),Retired,"$50,000 - $59,999",Tasty,Female
