,State,County,Year,Annual Change (%),HPI,HPI with 1990 base,HPI with 2000 base
51906,NC,Alamance,1990,2.46,246.62,100,71.14
51907,NC,Alamance,1991,2.46,252.7,102.46,72.89
51908,NC,Alamance,1992,1.62,256.8,104.13,74.08
51909,NC,Alamance,1993,1.5,260.65,105.69,75.19
51910,NC,Alamance,1994,3.67,270.21,109.56,77.95
51911,NC,Alamance,1995,5.78,285.82,115.9,82.45
51912,NC,Alamance,1996,4.46,298.58,121.07,86.13
51913,NC,Alamance,1997,3.72,309.7,125.58,89.34
51914,NC,Alamance,1998,4.24,322.84,130.9,93.13
51915,NC,Alamance,1999,3.09,332.81,134.95,96
51916,NC,Alamance,2000,4.16,346.66,140.56,100
51917,NC,Alamance,2001,3.85,360.02,145.98,103.85
51918,NC,Alamance,2002,1.63,365.88,148.36,105.55
51919,NC,Alamance,2003,1.07,369.8,149.95,106.68
51920,NC,Alamance,2004,-0.14,369.29,149.74,106.53
51921,NC,Alamance,2005,2.15,377.24,152.96,108.82
51922,NC,Alamance,2006,1.96,384.63,155.96,110.95
51923,NC,Alamance,2007,0.97,388.36,157.47,112.03
51924,NC,Alamance,2008,0.27,389.39,157.89,112.33
51925,NC,Alamance,2009,-0.55,387.26,157.03,111.71
51926,NC,Alamance,2010,-4.04,371.63,150.69,107.2
51927,NC,Alamance,2011,-3.34,359.21,145.65,103.62
51928,NC,Alamance,2012,-1.78,352.8,143.05,101.77
51929,NC,Alamance,2013,0.86,355.84,144.29,102.65
51930,NC,Alamance,2014,-0.91,352.62,142.98,101.72
51931,NC,Alamance,2015,3.44,364.74,147.89,105.21
51932,NC,Alamance,2016,2,372.02,150.85,107.32
51933,NC,Alamance,2017,4.42,388.47,157.51,112.06
51934,NC,Alamance,2018,6.6,414.09,167.91,119.45
51935,NC,Alexander,1992,.,100,.,74.23
51936,NC,Alexander,1993,5.55,105.55,.,78.35
51937,NC,Alexander,1994,-8.17,96.93,.,71.95
51938,NC,Alexander,1995,10.9,107.49,.,79.78
51939,NC,Alexander,1996,0.83,108.38,.,80.45
51940,NC,Alexander,1997,11.94,121.32,.,90.05
51941,NC,Alexander,1998,1.35,122.95,.,91.26
51942,NC,Alexander,1999,4.78,128.83,.,95.62
